Frase,Autor
"El único modo de hacer un gran trabajo es amar lo que haces. ❤️",Steve Jobs
"La vida es lo que pasa mientras estás ocupado haciendo otros planes. 🚶‍♂️",John Lennon
"El éxito es la suma de pequeños esfuerzos repetidos día tras día. 🧱",Robert Collier
"No cuentes los días, haz que los días cuenten. 🥊",Muhammad Ali
"Cree que puedes y ya estás a medio camino. 🛤️",Theodore Roosevelt
"Tus clientes más insatisfechos son tu mayor fuente de aprendizaje. 💡",Bill Gates
"La imaginación es más importante que el conocimiento. 🧠",Albert Einstein
"La inspiración existe, pero tiene que encontrarte trabajando. 🎨",Pablo Picasso
"Todo parece imposible hasta que se hace. ✨",Nelson Mandela
"La forma de empezar es dejar de hablar y empezar a hacer. 🚀",Walt Disney
"La inteligencia es la capacidad de adaptarse al cambio. 🦋",Stephen Hawking
"La simplicidad es la máxima sofisticación. 💎",Leonardo da Vinci
"No es que tengamos poco tiempo, sino que perdemos mucho. ⏳",Séneca
"El único límite a nuestros logros de mañana está en nuestras dudas de hoy. 🔗",Franklin D. Roosevelt
"Nuestra mayor gloria no es no caer nunca, sino levantarnos cada vez que caemos. 💪",Confucio
"El secreto para salir adelante es empezar. 🏁",Mark Twain
"Tanto si piensas que puedes, como si piensas que no puedes, estás en lo cierto. 🛠️",Henry Ford
"La suerte favorece sólo a la mente preparada. 📖",Isaac Asimov
"Si no te gusta algo, cámbialo. Si no puedes cambiarlo, cambia tu actitud. 🎭",Maya Angelou
"Lo que es peligroso es no evolucionar.  evolutivo",Jeff Bezos
"Nada en la vida debe ser temido, solo comprendido. 🔬",Marie Curie
"Una persona que nunca ha cometido un error nunca ha intentado nada nuevo. 🧪",Albert Einstein
"La vida es un 10% lo que te ocurre y un 90% cómo reaccionas a ello. ⚖️",Charles R. Swindoll
"Prefiero morir de pasión que de aburrimiento. 🔥",Vincent van Gogh
"La diligencia es la madre de la buena ventura. 🐝",Miguel de Cervantes
"En algún lugar, algo increíble está esperando a ser conocido. 🔭",Carl Sagan
"Hablar es barato. Muéstrame el código. 💻",Linus Torvalds
"Un buen programador mira a ambos lados antes de cruzar una calle de un solo sentido. 🚶‍♂️",Doug Linder
"Hay 10 tipos de personas en el mundo: las que entienden binario y las que no. 🤓",Anónimo
"El hardware es lo que hace a una máquina rápida; el software es lo que hace que una máquina rápida se vuelva lenta. 🐌",Craig Bruce
"Siempre codifica como si la persona que finalmente mantendrá tu código fuera un psicópata violento que sabe dónde vives. 🔪",John Woods
